LOCALITY_NAME,PRICE,PRICE_PER_SQFT,AREA,LATITUDE,LONGITUDE,LOG_PRICE
dahisar west,22450000.0,22647.675,1015.0,19.16280243,72.83487909,16.926801216695967
dattanagar,6900000.0,11596.64,595.0,17.0806407,74.8134828,15.747032114495013
deonar,27166666.666666668,26920.823333333334,1010.0,19.0475502,72.9051895,17.117501326352798
devdaya nagar ,27500000.0,25000.0,1100.0,19.2149044,72.9583943,17.129696599000436
devipada,32500000.0,22965.195,1433.5,19.2252681,72.8651415,17.296750678069195
dhakoji sethpada,32000000.0,42666.67,750.0,19.1265,72.8416,17.281246492014
dhokali,10992307.692307692,15175.451538461539,761.2307692307693,19.2255786,72.9845436,16.212706376411262
dindoshi,14600000.0,26071.43,560.0,19.1740198,72.8695219,16.496532155171714
diva,3904200.0,6827.4839999999995,609.0,19.1887564,73.0414169,15.177563710845517
dn nagar,38858333.333333336,37990.30333333334,1006.25,19.1278285,72.8308602,17.475433137725055
dn nager,35100000.0,21208.46,1655.0,19.1229,72.8301,17.373711716926124
dombivli,4200000.0,6043.17,695.0,19.2148599,73.0910271,15.250595321348806
dombivli east,6665752.475247525,11156.2799009901,607.6534653465346,19.2111814,73.091129,15.712493554754843
dombivli west,5409090.909090909,9342.705454545454,593.7272727272727,19.2221822,73.0809274,15.50359178259142
dronagiri,7599375.0,11159.27875,686.0,18.8813327,72.9647315,15.84357669662258
four bungalows,70000000.0,35000.0,2000.0,19.1287942,72.8255543,18.064005814299346
gamdevi,38500000.0,46951.22,820.0,18.9584855,72.8122522,17.46616882523204
gandhi nagar,68000000.0,48452.95,1519.0,20.67515,79.9602985,18.035018277846262
garodia nagar,23000000.0,28606.97,804.0,19.0741334,72.9085221,16.951004817371683
gauripada,12000000.0,16666.67,720.0,19.2513,73.1533,16.300417291085605
gavanpada,11000000.0,23605.15,466.0,19.1720445,72.96625185,16.213405921671733
ghansoli,22123957.746478874,20588.718169014086,1162.112676056338,19.11637965,73.00699279,16.91217168544476
ghatkopar east,28734782.608695652,32084.144782608695,835.3913043478261,19.0834898,72.9120255,17.17361891931256
ghatkopar west,23743875.0,24906.47375,849.125,19.0897194,72.9045972,16.98283520256364
ghatla,31780000.0,29221.182,1085.6,19.0517387,72.9103117,17.274347750539174
ghodbunder road,11585050.0,14049.7345,804.8,19.21594668,72.97815577,16.265226118083206
golavli,5800000.0,13119.41,445.0,19.2102,73.1137,15.573368647930426
goregaon east,36519976.744186044,27332.486511627907,1282.8372093023256,19.1692623,72.8552548,17.413370004276455
goregaon west,33800000.0,31588.21210526316,1049.1842105263158,19.1633281,72.8411995,17.335971390039045
gowalia tank,500000000.0,120510.97,4149.0,18.962095,72.81009812,20.030118658386467
gulmohar colony,74083333.33333333,47965.44333333333,1700.0,18.587773,73.7813709,18.120701157188492
gulmohar road,100000000.0,48214.285,2050.0,19.10503541,72.83680964,18.420680753952364
hanuman chowk,20700000.0,27860.03,743.0,18.3997373,76.5813272,16.845644306544774
hanuman nagar,112500000.0,45760.736666666664,2492.0,19.8645643,75.3619266,18.538463788497637
hari om nagar,21000000.0,26083.725,805.0,16.68528935,74.20214579,16.860033043306743
hariyali,10833333.333333334,19051.433333333334,622.6666666666666,19.1136865,72.929775,16.198138450939545
hatkesh udhog nagar,9000000.0,12369.66,792.5,19.2814,72.8789,16.012735246411598
hiranandani estate,29472815.533980582,22818.68786407767,1251.0,19.2570093,72.9839263,17.198978923068033
hiranandani gardens powai,55522641.50943396,36697.29981132076,1567.4528301886792,19.1183882,72.911464,17.832301468661203
hiranandani meadows,29157142.85714286,20819.277142857143,1427.142857142857,19.2274375,72.97185296,17.188210513021673
ic colony,14250000.0,23826.445,592.5,19.2476667,72.8479863,16.47226753485437
indralok phase 3,10500000.0,10937.5,960.0,19.30140477,72.86488947,16.166885910365842
jagdusha nagar,12500000.0,20833.33,600.0,19.0949344,72.9088515,16.341239282272525
jankalyan nagar,12500000.0,21667.225,570.0,19.1068579,72.8671624,16.341239282272525
jawahar nagar,10500000.0,25925.93,405.0,21.1192357,79.105937,16.166885910365842
jijamata nagar,25600000.0,18196.36333333333,1341.6666666666667,19.09396185,72.89462495,17.05810294851229
jk gram,15335294.11764706,22172.7,695.7058823529412,19.0514449,73.06531216,16.545667600056564
jogeshwari east,23385714.285714287,25335.802857142855,887.5714285714286,19.1429737,72.855068,16.9676359360472
jogeshwari west,15000000.0,27182.26,545.6666666666666,19.136394,72.8373817,16.52356082573315
juhu,87690000.0,47152.912,1944.6,19.1070215,72.8275275,18.28931843715935
juhu circle,81250000.0,33626.705,2424.0,19.1155173,72.8300035,18.213041391481813
juhu lane,36000000.0,40000.0,900.0,19.11474598,72.83976029,17.399029524198163
juhu scheme,48750000.0,55357.145000000004,900.0,19.1050421,72.8272931,17.70221577592095
jui nagar,33883333.333333336,39450.35722222223,1064.888888888889,19.0559456,73.01824949,17.338433838883553
jvlr,29390909.09090909,28630.867272727275,1083.8181818181818,19.12108294,72.89916324,17.196196003921415
jvpd scheme,102444444.44444445,55963.09333333333,1811.7777777777778,19.1111705,72.8304076,18.44483121394604
kala nagar,60000000.0,36363.64,1650.0,19.0546701,72.8485093,17.909855136853043
kalamboli,6918666.666666667,8160.734666666667,887.3333333333334,19.0344708,73.1149672,15.749733775338166
kalher,3068555.5555555555,7269.451666666666,445.94444444444446,19.2470586,73.0162096,14.936717831651887
kalina,40000000.0,35119.05,1070.0,19.079273,72.8612672,17.50439003707821
kalwa,8800000.0,15736.61,562.3333333333334,19.1953415,72.9967893,15.990262393084793
